ProductKey,Product_Item_Code,ProductSubcategoryKey,Product_Name,Product_Color,Product_Size,Product_Line,Product_Model_Name,Product_Category,Sub_Category,Product_Status
1,AR-5381,NULL,Adjustable Race,NA,NULL,NULL,NULL,NULL,NULL,Current
2,BA-8327,NULL,Bearing Ball,NA,NULL,NULL,NULL,NULL,NULL,Current
3,BE-2349,NULL,BB Ball Bearing,NA,NULL,NULL,NULL,NULL,NULL,Current
4,BE-2908,NULL,Headset Ball Bearings,NA,NULL,NULL,NULL,NULL,NULL,Current
5,BL-2036,NULL,Blade,NA,NULL,NULL,NULL,NULL,NULL,Current
6,CA-5965,NULL,LL Crankarm,Black,NULL,NULL,NULL,NULL,NULL,Current
7,CA-6738,NULL,ML Crankarm,Black,NULL,NULL,NULL,NULL,NULL,Current
8,CA-7457,NULL,HL Crankarm,Black,NULL,NULL,NULL,NULL,NULL,Current
9,CB-2903,NULL,Chainring Bolts,Silver,NULL,NULL,NULL,NULL,NULL,Current
10,CN-6137,NULL,Chainring Nut,Silver,NULL,NULL,NULL,NULL,NULL,Current
11,CR-7833,NULL,Chainring,Black,NULL,NULL,NULL,NULL,NULL,Current
12,CR-9981,NULL,Crown Race,NA,NULL,NULL,NULL,NULL,NULL,Current
13,CS-2812,NULL,Chain Stays,NA,NULL,NULL,NULL,NULL,NULL,Current
14,DC-8732,NULL,Decal 1,NA,NULL,NULL,NULL,NULL,NULL,Current
15,DC-9824,NULL,Decal 2,NA,NULL,NULL,NULL,NULL,NULL,Current
16,DT-2377,NULL,Down Tube,NA,NULL,NULL,NULL,NULL,NULL,Current
17,EC-M092,NULL,Mountain End Caps,NA,NULL,NULL,NULL,NULL,NULL,Current
18,EC-R098,NULL,Road End Caps,NA,NULL,NULL,NULL,NULL,NULL,Current
19,EC-T209,NULL,Touring End Caps,NA,NULL,NULL,NULL,NULL,NULL,Current
20,FE-3760,NULL,Fork End,NA,NULL,NULL,NULL,NULL,NULL,Current
21,FH-2981,NULL,Freewheel,Silver,NULL,NULL,NULL,NULL,NULL,Current
22,FW-1000,NULL,Flat Washer 1,NA,NULL,NULL,NULL,NULL,NULL,Current
23,FW-1200,NULL,Flat Washer 6,NA,NULL,NULL,NULL,NULL,NULL,Current
